 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8999990E+02  0.0000000E+00  0.1813318E+01  0.1867844E+01
    100  0.6500  0.8999990E+02  0.1000000E+01  0.1811709E+01  0.1866186E+01
    100  0.6500  0.8999990E+02  0.2000000E+01  0.1806902E+01  0.1861235E+01
    100  0.6500  0.8999990E+02  0.3000000E+01  0.1798959E+01  0.1853052E+01
    100  0.6500  0.8999990E+02  0.4000000E+01  0.1787982E+01  0.1841745E+01
    100  0.6500  0.8999990E+02  0.5000000E+01  0.1774107E+01  0.1827453E+01
    100  0.6500  0.8999990E+02  0.6000000E+01  0.1757508E+01  0.1810355E+01
    100  0.6500  0.8999990E+02  0.7000000E+01  0.1738379E+01  0.1790651E+01
    100  0.6500  0.8999990E+02  0.8000000E+01  0.1716940E+01  0.1768567E+01
    100  0.6500  0.8999990E+02  0.9000000E+01  0.1693428E+01  0.1744348E+01
    100  0.6500  0.8999990E+02  0.1000000E+02  0.1668087E+01  0.1718245E+01
    100  0.6500  0.8999990E+02  0.1100000E+02  0.1641166E+01  0.1690515E+01
    100  0.6500  0.8999990E+02  0.1200000E+02  0.1612912E+01  0.1661411E+01
    100  0.6500  0.8999990E+02  0.1300000E+02  0.1583564E+01  0.1631181E+01
    100  0.6500  0.8999990E+02  0.1400000E+02  0.1553352E+01  0.1600060E+01
    100  0.6500  0.8999990E+02  0.1500000E+02  0.1522486E+01  0.1568266E+01
    100  0.6500  0.8999990E+02  0.1600000E+02  0.1491160E+01  0.1535998E+01
    100  0.6500  0.8999990E+02  0.1700000E+02  0.1459547E+01  0.1503434E+01
    100  0.6500  0.8999990E+02  0.1800000E+02  0.1427802E+01  0.1470735E+01
    100  0.6500  0.8999990E+02  0.1900000E+02  0.1396056E+01  0.1438035E+01
    100  0.6500  0.8999990E+02  0.2000000E+02  0.1364426E+01  0.1405453E+01
    100  0.6500  0.8999990E+02  0.2100000E+02  0.1333009E+01  0.1373092E+01
    100  0.6500  0.8999990E+02  0.2200000E+02  0.1301890E+01  0.1341037E+01
    100  0.6500  0.8999990E+02  0.2300000E+02  0.1271144E+01  0.1309366E+01
    100  0.6500  0.8999990E+02  0.2400000E+02  0.1240835E+01  0.1278146E+01
    100  0.6500  0.8999990E+02  0.2500000E+02  0.1211027E+01  0.1247442E+01
    100  0.6500  0.8999990E+02  0.2600000E+02  0.1181776E+01  0.1217311E+01
    100  0.6500  0.8999990E+02  0.2700000E+02  0.1153135E+01  0.1187809E+01
    100  0.6500  0.8999990E+02  0.2800000E+02  0.1125154E+01  0.1158987E+01
    100  0.6500  0.8999990E+02  0.2900000E+02  0.1097880E+01  0.1130892E+01
    100  0.6500  0.8999990E+02  0.3000000E+02  0.1071351E+01  0.1103566E+01
    100  0.6500  0.8999990E+02  0.3100000E+02  0.1045599E+01  0.1077039E+01
    100  0.6500  0.8999990E+02  0.3200000E+02  0.1020646E+01  0.1051336E+01
    100  0.6500  0.8999990E+02  0.3300000E+02  0.9965038E+00  0.1026468E+01
    100  0.6500  0.8999990E+02  0.3400000E+02  0.9731719E+00  0.1002434E+01
    100  0.6500  0.8999990E+02  0.3500000E+02  0.9506378E+00  0.9792228E+00
    100  0.6500  0.8999990E+02  0.3600000E+02  0.9288815E+00  0.9568123E+00
    100  0.6500  0.8999990E+02  0.3700000E+02  0.9078749E+00  0.9351741E+00
    100  0.6500  0.8999990E+02  0.3800000E+02  0.8875847E+00  0.9142737E+00
    100  0.6500  0.8999990E+02  0.3900000E+02  0.8679786E+00  0.8940780E+00
    100  0.6500  0.8999990E+02  0.4000000E+02  0.8490241E+00  0.8745536E+00
    100  0.6500  0.8999990E+02  0.4100000E+02  0.8306930E+00  0.8556713E+00
    100  0.6500  0.8999990E+02  0.4200000E+02  0.8129628E+00  0.8374080E+00
    100  0.6500  0.8999990E+02  0.4300000E+02  0.7958167E+00  0.8197463E+00
    100  0.6500  0.8999990E+02  0.4400000E+02  0.7792421E+00  0.8026733E+00
    100  0.6500  0.8999990E+02  0.4500000E+02  0.7632304E+00  0.7861802E+00
    100  0.6500  0.8999990E+02  0.4600000E+02  0.7477746E+00  0.7702597E+00
    100  0.6500  0.8999990E+02  0.4700000E+02  0.7328660E+00  0.7549028E+00
    100  0.6500  0.8999990E+02  0.4800000E+02  0.7184939E+00  0.7400985E+00
    100  0.6500  0.8999990E+02  0.4900000E+02  0.7046441E+00  0.7258322E+00
    100  0.6500  0.8999990E+02  0.5000000E+02  0.6912969E+00  0.7120837E+00
    100  0.6500  0.8999990E+02  0.5100000E+02  0.6784302E+00  0.6988301E+00
    100  0.6500  0.8999990E+02  0.5200000E+02  0.6660181E+00  0.6860447E+00
    100  0.6500  0.8999990E+02  0.5300000E+02  0.6540355E+00  0.6737019E+00
    100  0.6500  0.8999990E+02  0.5400000E+02  0.6424573E+00  0.6617755E+00
    100  0.6500  0.8999990E+02  0.5500000E+02  0.6312609E+00  0.6502424E+00
    100  0.6500  0.8999990E+02  0.5600000E+02  0.6204283E+00  0.6390842E+00
    100  0.6500  0.8999990E+02  0.5700000E+02  0.6099454E+00  0.6282860E+00
    100  0.6500  0.8999990E+02  0.5800000E+02  0.5998013E+00  0.6178369E+00
    100  0.6500  0.8999990E+02  0.5900000E+02  0.5899896E+00  0.6077302E+00
    100  0.6500  0.8999990E+02  0.6000000E+02  0.5805029E+00  0.5979582E+00
    100  0.6500  0.8999990E+02  0.6100000E+02  0.5713358E+00  0.5885154E+00
    100  0.6500  0.8999990E+02  0.6200000E+02  0.5624804E+00  0.5793939E+00
    100  0.6500  0.8999990E+02  0.6300000E+02  0.5539269E+00  0.5705830E+00
    100  0.6500  0.8999990E+02  0.6400000E+02  0.5456634E+00  0.5620711E+00
    100  0.6500  0.8999990E+02  0.6500000E+02  0.5376757E+00  0.5538433E+00
    100  0.6500  0.8999990E+02  0.6600000E+02  0.5299484E+00  0.5458836E+00
    100  0.6500  0.8999990E+02  0.6700000E+02  0.5224662E+00  0.5381764E+00
